Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Secretory cell	1/35	0.681111134214559	0.8711612080595227	0	0	0.8866660548774892	0.3405061819295701	LGR5
Ovary cancer cell	5/179	0.6847620348498289	0.8743155393065289	0	0	0.86540717082589	0.3277157586031509	TSHZ2;KRT13;LRRFIP1;TMEM19;SRRM1
lat1	1/36	0.6913653679518101	0.8785725010681845	0	0	0.8612881658123468	0.317890129595381	RBFOX1
Myofibroblast	2/74	0.6916675110035436	0.8785725010681845	0	0	0.8370659722222222	0.30858429888816086	KRT19;TNF
U-937 cell	2/74	0.6916675110035436	0.8785725010681845	0	0	0.8370659722222222	0.30858429888816086	FOS;TNF
BTO:0000379	10/351	0.6936454478902297	0.8795710318608068	0	0	0.8824102602175284	0.32278067082371165	ACAD8;TMEM25;DARS;KIF26B;GMNN;MTERFD3;HAP1;ZNF556;ALG10;QKI
Stromal cell	5/182	0.6986804940663783	0.8829745449815716	0	0	0.8506062138023397	0.3049948366581646	NT5E;MCAM;CXCR4;TNF;PGF
Schwann cell	2/75	0.6987224041588588	0.8829745449815716	0	0	0.825556506849315	0.2959634511467767	MAG;ANK3
Outer hair cell	1/37	0.7012903603998192	0.8847047623505411	0	0	0.8373201594730456	0.2971090492716297	DFNA5
Notochord	1/38	0.7108966667750022	0.8939882371858137	0	0	0.8146477210439769	0.2779807712475825	PAX3
