Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Gall bladder cancer cell	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	BANF2
ml3	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	PFKM
Iliac artery	1/8	0.16749462446716165	0.695001223340954	0	0	6.175726927939317	11.034813707226034	PSG8
Blood clot	3/63	0.17119287537712186	0.695001223340954	0	0	2.1652222222222224	3.821540209442967	VWF;F11;SPATA5
Thyroid nodule	2/33	0.1713230196076251	0.695001223340954	0	0	2.7917888563049855	4.925286465715122	C21ORF33;TFF3
adipose-derived stem cell	2/33	0.1713230196076251	0.695001223340954	0	0	2.7917888563049855	4.925286465715122	ITGB1;VWF
Pheochromocytoma cell line	2/34	0.17945987160276955	0.695001223340954	0	0	2.704406873614191	4.6456400055483185	GTF3C6;ITFG1
Nectary	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	PCSK2
Photophore	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	PGLYRP1
Red bone marrow	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	AMD1
Rge	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	FBLN5
SCaBER cell	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	NUMA1
Bone marrow stromal cell line	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	IL7
Bone marrow-derived macrophage	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	SNX5
Sessile cell	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	CLPB
Bursa of Fabricius	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	DEFB108B
C6/36 cell	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	ERF
Sporangium	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	KIAA1432
a24	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	NINJ1
lc90	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	LRRC4C
Goblet cell	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	FOXA3
mc2	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	CMC2
Imago	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	DUT
KB cell	1/9	0.18635839010680721	0.695001223340954	0	0	5.4034845132743365	9.078305879442869	FOLR2
Ureteric bud	2/35	0.1876539270102445	0.695001223340954	0	0	2.6223207686622323	4.387551272533834	GDNF;SPRY1
Leukemia cell	3/68	0.19973746875797274	0.695001223340954	0	0	1.9981538461538462	3.2185291669147347	PSIP1;TRIP11;UBASH3A
Uroepithelium	3/68	0.19973746875797274	0.695001223340954	0	0	1.9981538461538462	3.2185291669147347	CD274;NUMA1;UPK3A
Outer hair cell	2/37	0.20418694094633316	0.695001223340954	0	0	2.472220462464365	3.9276644307243966	CALM3;TMC3
Cochlear hair cell	2/37	0.20418694094633316	0.695001223340954	0	0	2.472220462464365	3.9276644307243966	NTF3;TMC3
Inner hair cell	2/37	0.20418694094633316	0.695001223340954	0	0	2.472220462464365	3.9276644307243966	NTF3;TMC3
Melanocyte cell line	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	MLANA
Primitive endoderm	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	UBXN2A
Ameloblast	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	SLC24A4
BHK-21 cell	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	ERF
SK-N-MC cell	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	C21ORF33
Cervical intraepithelial neoplasia cell	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	CLPB
Extraocular muscle	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	PHOX2A
Gonadotrophic cell	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	GNG8
melan-a cell	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	MLANA
Hypodermis	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	KANSL2
Insect tracheal system	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	NINJ1
JAR cell	1/10	0.204795643403638	0.695001223340954	0	0	4.802851524090462	7.616086544125801	FOLR3
Lung cancer cell	4/103	0.20542711764966395	0.695001223340954	0	0	1.7500618658747835	2.7697598544253843	TP53I3;FUBP3;CEACAM6;EXOSC2
Atherosclerotic plaque	3/69	0.20557829181697393	0.695001223340954	0	0	1.9677777777777778	3.1128834246798562	VWF;PAPPA;ABCG1
Autonomic nervous system	3/70	0.21145765793027516	0.695001223340954	0	0	1.938308457711443	3.01160896808721	GDNF;NTF3;PHOX2A
Middle ear	2/38	0.21251322434638825	0.695001223340954	0	0	2.4034244887903427	3.72230622545086	CD79A;SIX5
DT-40 cell	2/38	0.21251322434638825	0.695001223340954	0	0	2.4034244887903427	3.72230622545086	REV3L;CENPO
non-neuronal cell	2/39	0.22087134332012792	0.695001223340954	0	0	2.338347216395997	3.531313282819729	WDR47;NTF3
Meconium	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	CEACAM6
Nerve cord	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	PRDM12
Nuchal ligament	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	FBN1
ATDC-5 cell	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	COL2A1
Scapula	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	C5ORF42
COS-1 cell	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	FOLR3
Spermary	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	MSL2
Cambium	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	LRTOMT
Sporocyst	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	MAPK10
Chondrocyte cell line	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	COL2A1
Compound eye	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	NUP50
Temporomandibular joint	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	DDR2
Tooth bud	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	FAM46A
Elementary body	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	CD79A
Vitelline membrane	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	DSTN
Ewing's sarcoma cell	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	C21ORF33
Germinal epithelium	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	TFF2
k1	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	AGPAT3
p95	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	RSPH6A
sknep1	1/11	0.22281600681861152	0.695001223340954	0	0	4.322345132743362	6.489607579200506	RPRM
Hip	4/107	0.22446458135536468	0.6965344225563378	0	0	1.6817523298808572	2.5126007960364505	COL2A1;VWF;VDR;ASPN
Anther	2/41	0.23766053552383504	0.7018161650984069	0	0	2.2182045596679743	3.1873646278047687	IPPK;ANKRD32
Nectar	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	SKAP2
Hematopoietic cell	1/12	0.24042888624055422	0.7018161650984069	0	0	3.9292035398230087	5.60041531384312	FOLR3
